UDI,Machine failure,failure_probability,prediction
9751,0,0,0
9752,0,0.0572735269213,0
9753,0,0.019033459487,0
9754,0,0.0184990985404,0
9755,0,0.0373455854622,0
9756,0,0.153239133652,0
9757,0,0.0388389110038,0
9758,0,0.0347999871386,0
9759,1,0.0945613583009,0
9760,0,0,0
9761,0,0,0
9762,0,0,0
9763,0,0,0
9764,0,0,0
9765,1,0.461669695454,1
9766,0,0,0
9767,0,0.00923605386095,0
9768,0,0,0
9769,0,0,0
9770,0,0,0
9771,0,0,0
9772,0,0.00923605386095,0
9773,0,0.00923605386095,0
9774,0,0,0
9775,0,0.0474476850312,0
9776,0,0.0196028571429,0
9777,0,0,0
9778,0,0.0192057142857,0
9779,0,0.00960285714286,0
9780,0,0,0
9781,0,0.00889624139756,0
9782,0,0.00960285714286,0
9783,0,0.0188389110038,0
9784,0,0.144537773568,0
9785,0,0.0181322952585,0
9786,0,0,0
9787,0,0,0
9788,0,0.00960285714286,0
9789,0,0,0
9790,0,0,0
9791,0,0.00923605386095,0
9792,0,0,0
9793,0,0,0
9794,0,0.009797405626,0
9795,0,0,0
9796,0,0,0
9797,0,0,0
9798,0,0,0
9799,0,0,0
9800,0,0,0
9801,0,0,0
9802,0,0.00960285714286,0
9803,0,0,0
9804,0,0,0
9805,0,0,0
9806,0,0,0
9807,0,0.359043716562,1
9808,0,0.0370223144831,0
9809,0,0,0
9810,0,0,0
9811,0,0,0
9812,0,0,0
9813,0,0.00960285714286,0
9814,0,0.0188389110038,0
9815,0,0.00960285714286,0
9816,0,0,0
9817,0,0.00960285714286,0
9818,0,0,0
9819,0,0.0183121259752,0
9820,0,0.0560493920115,0
9821,0,0,0
9822,0,0,0
9823,1,0.425642785773,1
9824,0,0.00960285714286,0
9825,0,0,0
9826,0,0,0
9827,0,0.28215005187,0
9828,0,0.162531124056,0
9829,0,0.107452463976,0
9830,0,0.0858101172661,0
9831,1,0.659720525391,1
9832,0,0.114838218408,0
9833,0,0.0856756100744,0
9834,0,0.162273988049,0
9835,0,0,0
9836,0,0,0
9837,0,0.0192057142857,0
9838,0,0.0192057142857,0
9839,0,0.00889624139756,0
9840,0,0.0281019556833,0
9841,0,0,0
9842,0,0.0370796448769,0
9843,0,0.00889624139756,0
9844,0,0.0262379203599,0
9845,0,0,0
9846,0,0,0
9847,0,0.0196028571429,0
9848,0,0,0
9849,0,0.009797405626,0
9850,0,0.095210380035,0
9851,0,0,0
9852,0,0,0
9853,0,0,0
9854,0,0,0
9855,0,0.00960285714286,0
9856,0,0,0
9857,0,0.00923605386095,0
9858,0,0,0
9859,0,0.00923605386095,0
9860,0,0,0
9861,0,0,0
9862,0,0,0
9863,0,0,0
9864,0,0.0540956774462,0
9865,0,0,0
9866,0,0.250779123727,0
9867,0,0,0
9868,0,0.0189677399916,0
9869,0,0,0
9870,0,0.00923605386095,0
9871,0,0.0385339828302,0
9872,0,0,0
9873,0,0.0387247132183,0
9874,0,0,0
9875,0,0.00923605386095,0
9876,0,0.00960285714286,0
9877,0,0.0388005255377,0
9878,0,0.0057325601228,0
9879,0,0.009797405626,0
9880,0,0,0
9881,0,0.0192057142857,0
9882,0,0,0
9883,0,0.0192057142857,0
9884,0,0.00960285714286,0
9885,0,0.00923605386095,0
9886,0,0,0
9887,0,0.0291976683949,0
9888,0,0,0
9889,0,0,0
9890,0,0,0
9891,0,0.00923605386095,0
9892,0,0,0
9893,0,0.0188962413976,0
9894,0,0.00960285714286,0
9895,0,0.00923605386095,0
9896,0,0.00973168613068,0
9897,0,0,0
9898,0,0,0
9899,0,0,0
9900,0,0,0
9901,0,0,0
9902,0,0.0178893462947,0
9903,0,0.0381497029352,0
9904,0,0.00828648915187,0
9905,0,0.00923605386095,0
9906,0,0.0294002627689,0
9907,0,0.104389103502,0
9908,0,0,0
9909,0,0.0189580250775,0
9910,0,0,0
9911,0,0.00935516793468,0
9912,0,0,0
9913,0,0.0388161473465,0
9914,0,0.00960285714286,0
9915,0,0.00960285714286,0
9916,0,0,0
9917,0,0,0
9918,0,0,0
9919,0,0.019797405626,0
9920,0,0.0479297008845,0
9921,0,0,0
9922,0,0.00960285714286,0
9923,0,0.009797405626,0
9924,0,0,0
9925,0,0.0268995326993,0
9926,0,0.00751397272524,0
9927,0,0,0
9928,0,0,0
9929,0,0.00986401878302,0
9930,0,0,0
9931,0,0,0
9932,0,0,0
9933,0,0.0178759377341,0
9934,0,0,0
9935,0,0,0
9936,0,0.0169081603487,0
9937,0,0.0098976662004,0
9938,0,0,0
9939,0,0,0
9940,0,0.631360565792,1
9941,0,0,0
9942,0,0.00889624139756,0
9943,0,0.00889624139756,0
9944,0,0,0
9945,0,0.00923605386095,0
9946,0,0,0
9947,0,0,0
9948,0,0,0
9949,0,0,0
9950,0,0,0
9951,0,0.00858054633648,0
9952,0,0.0445714711266,0
9953,0,0.00923605386095,0
9954,0,0,0
9955,0,0,0
9956,0,0,0
9957,0,0,0
9958,0,0,0
9959,0,0.0098976662004,0
9960,0,0,0
9961,0,0,0
9962,0,0.0436295018011,0
9963,0,0,0
9964,0,0,0
9965,0,0.0194002627689,0
9966,0,0.0087355425601,0
9967,0,0,0
9968,0,0,0
9969,0,0,0
9970,0,0,0
9971,0,0,0
9972,0,0,0
9973,0,0,0
9974,0,0,0
9975,1,0.660317567989,1
9976,0,0,0
9977,0,0,0
9978,0,0,0
9979,0,0.027456531082,0
9980,0,0.0958902533378,0
9981,0,0,0
9982,0,0.0457248075575,0
9983,0,0,0
9984,0,0,0
9985,0,0,0
9986,0,0.0871636428612,0
9987,0,0.0177924827951,0
9988,0,0.0658464135203,0
9989,0,0.0190802516348,0
9990,0,0,0
9991,0,0,0
9992,0,0,0
9993,0,0,0
9994,0,0.00889624139756,0
9995,0,0,0
9996,0,0,0
9997,0,0,0
9998,0,0,0
9999,0,0,0
10000,0,0,0
